Station	pH	DissolvedOxygen	Conductivity	Temperature	Alkalinity	Hardness	Zn	SpeciesRichness	DiversityH	ProportionAchnanthes	Stream	Stream_no	Zn_levels
ER1	8.5	8.3999996	180	11	119	122	2	35.299999	2.27	.37	Eagle River	1	0
ER2	8	8	145	14	52	84	407	21.700001	1.25	.47999999	Eagle River	1	3
ER3	8	8	150	15	54	86	336	20.700001	1.15	.34999999	Eagle River	1	3
ER4	8.8000002	7.8000002	240	18	77	126	104	16.700001	1.62	.02	Eagle River	1	2
FC1	7.8000002	8.6000004	55	9	30	42	7	19	1.7	.17	Blue River	2	0
FC2	7.4000001	8.8000002	130	8	41	84	1735	5.6999998	.63	.75999999	Blue River	2	3
BR1	7.5	8.1999998	75	11	43	50	3	26	2.05	.44	Blue River	2	0
BR2	8.1000004	8.1000004	85	12	52	60	9	27.299999	1.98	.43000001	Blue River	2	0
BR3	7.9000001	8.3000002	100	12	42	66	691	14.3	1.04	.60000002	Blue River	2	3
BR4	7.3000002	8.3000002	105	11	52	64	72	22	2.1900001	.22	Blue River	2	2
BR5	7.8000002	8.3999996	100	9	51	64	56	21.299999	2.0999999	.17	Blue River	2	2
DC1	7.5	7.5999999	65	10	10	10	13	34	2.2	.43000001	Snake River	3	0
PC1	7.3000002	8.1000004	70	8	17	48	72	23.700001	2.0599999	.36000001	Snake River	3	2
SR1	6.6999998	7.5	100	11	11	52	364	28.700001	1.9	.44	Snake River	3	3
SR2	6.8000002	7.5999999	90	14	16	48	399	29.299999	1.88	.52999997	Snake River	3	3
SR3	6.8000002	7.3000002	90	16	18	48	276	10.7	.85000002	.61000001	Snake River	3	3
EF1	7.8000002	7.4000001	90	12	32	48	39	14	1.4	.36000001	Arkansas River	4	1
EF5	8.3999996	8.8000002	170	8	70	108	28	26.299999	2.1800001	.34999999	Arkansas River	4	1
AR1	8.1999998	7.5999999	155	13	64	94	24	23	1.83	.50999999	Arkansas River	4	1
AR2	8	7.5999999	150	15	67	92	26	26.299999	1.88	.5	Arkansas River	4	1
AR3	7.9000001	7.5999999	170	15	69	100	181	27	2.02	.46000001	Arkansas River	4	2
AR5	8.8000002	8.1999998	170	17	65	98	79	22.700001	1.9400001	.13	Arkansas River	4	2
AR8	7.8000002	7.3000002	100	18	34	44	27	27	2.0999999	.33000001	Arkansas River	4	1
CC1	8.1999998	8	55	8	23	32	31	38	2.3800001	.31	Chalk Creek	5	1
CC2	7.3000002	7.8000002	75	10	23	40	452	22	1.4299999	.63999999	Chalk Creek	5	3
CC3	7.3000002	7.5999999	75	11	28	36	224	23.299999	1.37	.68000001	Chalk Creek	5	3
CC4	7.4000001	7.5999999	80	15	31	42	76	25	1.75	.44	Chalk Creek	5	2
CC5	7.9000001	6.8000002	140	21	50	52	26	42	2.8299999	.20999999	Chalk Creek	5	1
MC1	7.8000002	7.5999999	40	11	17	18	2	20.700001	1.53	.56999999	South Platte River	6	0
MC2	7.9000001	7.3000002	75	14	35	40	12	7	.75999999	.41	South Platte River	6	0
MC3	8.3000002	7.1999998	155	16	69	96	168	7.6999998	.80000001	.12	South Platte River	6	2
SPR1	8.5	7.5	130	15	64	80	24	18.700001	1.66	.12	South Platte River	6	1
SPR2	8.6999998	7.3000002	150	16	62	86	52	11.3	.98000002	.15000001	South Platte River	6	2
SPR3	8.1999998	6.8000002	210	20	89	110	10	24	1.89	.1	South Platte River	6	0
